Competition Title,Competition Date,Full Name,Nation,Start Number,Rank,Gender,Qualification,Semifinal,Final
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Julia Chanourdie,FRA,7,19,F,4.4,0.3,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Natsuki Tanii,JPN,49,20,F,3.5,0.1,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Chloe Caulier,BEL,14,21,F,3.5,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Brooke Raboutou,USA,25,21,F,2.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Johanna Farber,AUT,17,23,F,2.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Ashima Shiraishi,USA,16,23,F,3.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Valentina Aguado,ARG,26,25,F,3.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Vanda Michalkova,SVK,21,25,F,1.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Sierra Blair-Coyle,USA,22,27,F,3.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Vera Zijlstra,NLD,27,27,F,1.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Paige Boklaschuk,CAN,34,29,F,2.5,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Jennifer Wood,GBR,29,29,F,1.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Nanako Kura,JPN,19,31,F,1.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Berit Schwaiger,AUT,8,31,F,2.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Sienna Kopf,USA,30,33,F,2.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Mei Kotake,JPN,15,33,F,1.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Mia Bawendi,USA,54,35,F,1.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Tiffany Melius,AUS,31,35,F,1.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Alejandra Contreras,CHL,38,37,F,1.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Piper Kelly,USA,45,37,F,1.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Madison Fischer,CAN,48,39,F,1.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Molly Thompson-Smith,GBR,39,39,F,0.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Maria Benach Zubero,ESP,44,41,F,1.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Aleksandra Kalucka,POL,33,41,F,0.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Muykuay Silva,CHL,53,43,F,0.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Itziar Zabala Zurinaga,ESP,46,43,F,1.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Heeyeon Park,KOR,35,45,F,0.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Katrine Vandet Salling,DNK,42,45,F,1.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Natalia Kalucka,POL,51,47,F,0.2,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Laura Stockler,AUT,28,47,F,1.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Natalie Berry,GBR,36,49,F,1.2,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Noelia Venet Gallegos,PER,55,49,F,0.2,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Ana Belen Argudo Marugan,ESP,40,51,F,1.2,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Jennifer Marie De La Torre,MEX,43,51,F,0.1,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Beatrix Evans,CAN,52,53,F,0.2,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Sofia Alejandra Herrera Vega Centeno,PER,37,53,F,0,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Lilly Magditsch,AUS,47,53,F,0,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Yoshiyuki Ogata,JPN,107,1,M,5.5,4.4,4.4
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Tomoa Narasaki,JPN,101,2,M,5.5,4.4,3.4
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Jongwon Chon,KOR,106,3,M,4.5,4.4,3.4
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Jan Hojer,DUE,109,4,M,3.4,4.4,2.4
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Adam Ondra,CZE,108,5,M,5.5,4.4,2.3
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Sean Mccoll,CAN,121,6,M,3.4,3.4,1.3
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Taisei Ishimatsu,JPN,113,7,M,4.5,3.4,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Nathaniel Coleman,USA,116,8,M,4.5,3.4,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Kokoro Fujii,JPN,105,9,M,4.4,3.4,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Meichi Narasaki,JPN,123,10,M,5.5,3.4,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Tomoaki Takata,JPN,111,11,M,3.5,2.4,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Kai Harada,JPN,110,12,M,5.5,2.4,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Alexander Megos,DUE,118,13,M,4.4,2.4,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Sam Mcqueen,USA,146,14,M,4.5,2.3,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Rei Kawamata,JPN,119,15,M,4.5,1.4,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Keita Dohi,JPN,114,16,M,5.5,1.4,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Arthur Ternant,FRA,156,17,M,3.5,1.3,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Sean Bailey,USA,117,18,M,4.4,1.3,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Yannick Flohe,DUE,120,19,M,4.5,1.3,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Matt Fultz,USA,148,20,M,4.5,1.3,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Leo Avezou,FRA,157,21,M,3.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Jernej Kruder,SLO,102,21,M,3.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Alfons Dornauer,AUT,124,23,M,3.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Mikel Asier Linacisoro Molina,ESP,153,23,M,3.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Aidan Roberts,GBR,126,25,M,3.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Rudolph Ruana,USA,151,25,M,3.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Simon Lorenzi,BEL,129,27,M,2.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Rei Sugimoto,JPN,104,27,M,3.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Nicolas Collin,BEL,138,29,M,2.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Jan-Luca Posch,AUT,133,29,M,2.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Mickael Mawem,FRA,112,31,M,2.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Zander Waller,USA,145,31,M,2.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Michael Piccolruaz,ITA,122,33,M,2.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Gregor Vezonik,SLO,103,33,M,2.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Alex Khazanov,ISR,115,35,M,2.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Lucas Uchida,CAN,132,35,M,2.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Marcello Bombardi,ITA,128,37,M,2.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Jason Holowach,CAN,139,37,M,2.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Philipp Martin,DUE,127,39,M,2.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Hector Adrian Martinez Cordero,MEX,154,39,M,2.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Zach Richardson,CAN,140,41,M,1.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Nathan Smith,CAN,137,41,M,2.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Bassa Mawem,FRA,134,43,M,1.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,William Ridal,GBR,125,43,M,1.4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Alberto Gines Lopez,ESP,135,45,M,1.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Josh Levin,USA,150,45,M,1.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Zach Galla,USA,130,47,M,1.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Diego Lequerica,PER,155,47,M,1.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Joe Goodacre,USA,152,49,M,1.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Carlos Granja,ECU,143,49,M,1.2,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Leonardo De Rivero Huaman,PER,144,51,M,1.2,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Franz Josef Weber,MEX,147,51,M,0.3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,John Brosler,USA,149,53,M,0.2,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,German David Sanchez,MEX,142,53,M,0.1,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Alejandro Martinez Cordero,MEX,136,55,M,0,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Nickolaie Rivadeneira,ECU,131,55,M,0.2,,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Franklin Cardenas Vicente,PER,141,57,M,0,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Janja Garnbret,SLO,69,1,F,5.5,4.4,4.4
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Fanny Gibert,FRA,27,2,F,5.5,0.2,4.4
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Mia Krampl,SLO,71,3,F,4.5,0.2,3.3
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Julia Chanourdie,FRA,26,4,F,4.5,0.2,2.2
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Ievgeniia Kazbekova,UKR,83,5,F,4.4,1.1,1.3
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Katja Kadic,SLO,70,6,F,3.4,0.3,1.2
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Vita Lukan,SLO,73,7,F,4.5,0.2,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Lucka Rakovec,SLO,74,8,F,4.5,0.2,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Camilla Moroni,ITA,55,8,F,4.5,0.2,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Alex Johnson,USA,87,10,F,4.4,0.2,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Vanda Michalkova,SVK,80,11,F,3.4,0.1,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Jessica Pilz,AUT,5,12,F,4.5,0.1,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Mattea Potzi,AUT,7,12,F,4.4,0.1,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Emily Phillips,GBR,32,14,F,4.4,0.1,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Nanako Kura,JPN,58,14,F,3.4,0.1,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Viktoriia Meshkova,RUS,68,16,F,3.4,0.1,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Urska Repusic,SLO,75,17,F,5.5,0,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Johanna Farber,AUT,3,17,F,3.4,0,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Oceania Mackenzie,AUS,2,17,F,4.4,0,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Afra Honig,DUE,37,17,F,2.4,0,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Kyra Condie,USA,86,21,F,2.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Margaryta Zakharova,UKR,85,21,F,3.5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Lucia Dorffel,DUE,36,23,F,2.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Aya Sugawara,JPN,60,23,F,3.5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Natalie Bartschi,CHE,76,25,F,2.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Ashima Shiraishi,USA,90,25,F,3.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Alma Bestvater,DUE,35,27,F,3.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Elena Krasovskaya,RUS,67,27,F,2.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Andrea Kumin,CHE,78,27,F,3.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Sandra Lettner,AUT,4,30,F,2.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Joanna Neame,GBR,31,31,F,3.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Jennifer Wood,GBR,34,31,F,2.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Chloe Caulier,BEL,9,33,F,3.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Anne-Sophie Koller,CHE,77,33,F,2.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Berit Schwaiger,AUT,8,35,F,3.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Hannah Slaney,GBR,33,35,F,2.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Julia Pinggera,AUT,6,37,F,2.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Elisa Van Der Wel,DUE,42,37,F,2.3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Julijana Kruder,SLO,72,39,F,1.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Roxana Wienand,DUE,43,39,F,2.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Natalie Berry,GBR,30,41,F,2.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Martina Zanetti,ITA,57,41,F,1.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Laura Rogora,ITA,56,43,F,2.3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Helene Wolf,DUE,44,43,F,1.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Rong Jiang,CHN,15,45,F,2.3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Sienna Kopf,USA,88,45,F,1.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Sofya Yokoyama,CHE,79,47,F,2.3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,YueTong Zhang,CHN,16,47,F,1.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Giulia Medici,ITA,54,49,F,1.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Hannah Meul,DUE,40,49,F,1.3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Brooke Raboutou,USA,89,51,F,1.3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Linda Sjodin,SWE,82,51,F,1.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Eliska Bulenova,CZE,18,53,F,1.2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Leonie Lochner,DUE,39,53,F,1.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Anna Borella,ITA,53,55,F,1.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Annika Pidde,DUE,41,55,F,1.2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Katrine Vandet Salling,DNK,21,55,F,1.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Lucie Watillon,BEL,11,58,F,1.2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Celine Cuypers,BEL,10,59,F,1.2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Vera Zijlstra,NLD,63,59,F,1.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Eliska Adamovska,CZE,17,61,F,1.3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Maria Benach Zubero,ESP,23,61,F,1.2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,serika Okawachi,JPN,59,63,F,1.2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Naama Yohai,ISR,52,63,F,1.3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Katrin Amann,SWE,81,65,F,1.3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Nika Potapova,UKR,84,65,F,1.1,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Michaela Smetanova,CZE,20,67,F,1.1,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Yael Taub,ISR,51,67,F,1.3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Tereza Markova,CZE,19,69,F,1.2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Tiba Vroom,NLD,62,69,F,0.3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Anouck Jaubert,FRA,28,71,F,0.4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Lucile Saurel,FRA,29,71,F,0.3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Ana Belen Argudo Marugan,ESP,22,73,F,0.3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Muykuay Silva,CHL,13,73,F,0.2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Alejandra Contreras,CHL,12,75,F,0.2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Heeyeon Park,KOR,61,75,F,0.2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Rachelle De Charmoy,ZAF,64,77,F,0.2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Valeri Kremer,ISR,50,77,F,0.1,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Myrto Petalidou,GRC,45,79,F,0.1,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Tseng-shun Wong,HKG,48,79,F,0.1,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,YuZhen Baima,CHN,14,81,F,0.1,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Anna Davey,AUS,1,81,F,0.1,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Shifra Ben Avraham,ISR,49,83,F,0,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Sanja-Riia Collin,FIN,25,83,F,0,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Lurdes Gadala-Maria,GUM,46,83,F,0,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Yasmin Herrera,GUM,47,83,F,0,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Iuliia Kaplina,RUS,66,83,F,0,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Anna Krajushkina,EST,24,83,F,0,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Hannah Sealy-Fisher,ZAF,65,83,F,0,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Jakob Schubert,AUT,7,1,M,3.4,3.4,3.4
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Adam Ondra,CZE,22,2,M,4.5,4.4,3.3
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Jan Hojer,DUE,51,3,M,4.5,3.4,2.4
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Aleksey Rubtsov,RUS,94,4,M,4.4,2.4,2.3
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Anze Peharc,SLO,100,5,M,4.5,3.4,1.4
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Jongwon Chon,KOR,83,6,M,4.4,3.4,1.3
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Tim Reuser,NLD,86,7,M,3.4,2.4,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Gregor Vezonik,SLO,103,8,M,4.5,2.4,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Michael Piccolruaz,ITA,75,9,M,3.4,2.4,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Alexander Megos,DUE,55,10,M,3.5,2.4,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Jernej Kruder,SLO,99,11,M,3.4,1.4,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,YuFei Pan,CHN,19,12,M,3.5,1.4,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Nicolai Uznik,AUT,8,13,M,3.4,1.3,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Nathan Phillips,GBR,45,14,M,3.4,1.3,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Yoshiyuki Ogata,JPN,79,15,M,4.5,1.2,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,William Ridal,GBR,47,16,M,2.5,1.2,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Yuji Inoue,JPN,77,17,M,4.5,0.3,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Tomoaki Takata,JPN,81,18,M,4.5,0.3,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Alban Levier,FRA,41,19,M,2.5,0.3,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,5/18/2019,Taisei Ishimatsu,JPN,78,20,M,3.4,0.3,
